2 Diamond;Queen Clubs;8 Diamond;7 Spade;Jack Diamond;Nothing in hand
Queen Diamond;Queen Spade;8 Spade;Jack Diamond;6 Hearts;One pair
7 Diamond;8 Hearts;7 Hearts;Queen Clubs;8 Spade;Two pairs
9 Hearts;6 Clubs;9 Clubs;9 Spade;Aces Hearts;Three of a kind
10 Diamond;7 Hearts;7 Clubs;6 Clubs;Jack Hearts;One pair
10 Spade;4 Hearts;Queen Diamond;9 Clubs;9 Spade;One pair
Jack Spade;3 Spade;Aces Diamond;9 Spade;2 Diamond;Nothing in hand
King Hearts;3 Hearts;Queen Hearts;Jack Clubs;Queen Spade;One pair
7 Spade;6 Hearts;6 Diamond;King Clubs;9 Clubs;One pair
Aces Spade;2 Diamond;10 Spade;Aces Clubs;Queen Clubs;One pair
2 Spade;8 Spade;9 Clubs;Queen Diamond;5 Clubs;Nothing in hand
9 Clubs;Jack Spade;7 Clubs;Queen Diamond;4 Hearts;Nothing in hand
6 Hearts;9 Diamond;8 Spade;2 Spade;9 Clubs;One pair
7 Hearts;4 Clubs;Queen Clubs;7 Diamond;2 Spade;One pair
10 Clubs;Aces Spade;Jack Clubs;Jack Diamond;Jack Spade;Three of a kind
Queen Diamond;Aces Hearts;King Diamond;Jack Clubs;7 Spade;Nothing in hand
5 Clubs;Jack Diamond;7 Spade;8 Clubs;8 Diamond;One pair
4 Diamond;Jack Spade;8 Clubs;Queen Hearts;6 Clubs;Nothing in hand
Aces Clubs;10 Diamond;3 Diamond;King Diamond;Jack Diamond;Nothing in hand
2 Spade;4 Diamond;King Clubs;5 Hearts;King Spade;One pair
2 Hearts;9 Spade;Queen Hearts;10 Diamond;Jack Hearts;Nothing in hand
3 Hearts;Aces Spade;King Diamond;4 Diamond;9 Hearts;Nothing in hand
6 Diamond;King Spade;King Clubs;10 Diamond;Queen Spade;One pair
9 Diamond;Queen Clubs;10 Clubs;3 Hearts;6 Hearts;Nothing in hand
7 Clubs;2 Diamond;5 Clubs;9 Diamond;5 Spade;One pair
2 Clubs;7 Spade;King Diamond;Queen Spade;7 Hearts;One pair
3 Spade;5 Hearts;7 Diamond;Aces Clubs;8 Diamond;Nothing in hand
9 Spade;4 Hearts;5 Spade;10 Spade;Aces Clubs;Nothing in hand
Aces Diamond;10 Clubs;10 Spade;5 Hearts;Jack Spade;One pair
King Spade;6 Clubs;Jack Hearts;3 Diamond;7 Clubs;Nothing in hand
Jack Clubs;King Diamond;Aces Hearts;King Hearts;2 Spade;One pair
Queen Spade;4 Spade;2 Diamond;7 Spade;Queen Clubs;One pair
2 Hearts;2 Clubs;10 Clubs;Jack Spade;Aces Diamond;One pair
4 Hearts;3 Hearts;Queen Hearts;8 Clubs;King Clubs;Nothing in hand
Jack Clubs;Queen Clubs;4 Diamond;9 Hearts;King Spade;Nothing in hand
10 Spade;9 Diamond;King Clubs;Queen Hearts;7 Spade;Nothing in hand
Jack Clubs;8 Clubs;2 Diamond;10 Clubs;3 Diamond;Nothing in hand
10 Spade;3 Clubs;Jack Clubs;4 Hearts;7 Spade;Nothing in hand
10 Diamond;9 Hearts;3 Clubs;4 Spade;4 Hearts;One pair
Queen Diamond;10 Diamond;6 Clubs;6 Spade;King Spade;One pair
Jack Hearts;5 Diamond;King Spade;Queen Clubs;2 Spade;Nothing in hand
6 Diamond;2 Clubs;10 Diamond;7 Spade;8 Hearts;Nothing in hand
Queen Clubs;Aces Diamond;King Spade;6 Spade;Aces Spade;One pair
Queen Diamond;2 Clubs;3 Clubs;King Diamond;8 Spade;Nothing in hand
Queen Clubs;9 Spade;5 Spade;Queen Spade;10 Diamond;One pair
5 Spade;2 Spade;8 Spade;6 Clubs;9 Hearts;Nothing in hand
2 Diamond;7 Clubs;4 Clubs;5 Clubs;3 Hearts;Nothing in hand
Aces Clubs;7 Clubs;6 Diamond;3 Spade;10 Clubs;Nothing in hand
10 Diamond;7 Hearts;7 Clubs;6 Spade;4 Spade;One pair
Jack Hearts;3 Diamond;Queen Clubs;4 Hearts;6 Hearts;Nothing in hand
2 Hearts;4 Diamond;Queen Hearts;8 Spade;Aces Diamond;Nothing in hand
5 Clubs;7 Clubs;Aces Diamond;9 Diamond;3 Spade;Nothing in hand
King Spade;5 Clubs;Jack Spade;9 Diamond;10 Clubs;Nothing in hand
7 Diamond;3 Spade;Queen Diamond;10 Spade;2 Spade;Nothing in hand
King Hearts;8 Hearts;6 Clubs;Jack Hearts;7 Spade;Nothing in hand
Queen Clubs;2 Spade;Jack Clubs;3 Clubs;Aces Diamond;Nothing in hand
King Hearts;5 Spade;Queen Clubs;Queen Spade;Aces Clubs;One pair
7 Diamond;9 Hearts;2 Spade;6 Clubs;Aces Clubs;Nothing in hand
8 Clubs;10 Clubs;5 Clubs;Jack Hearts;9 Hearts;Nothing in hand
8 Hearts;7 Clubs;King Clubs;6 Spade;6 Diamond;One pair
5 Clubs;4 Spade;9 Diamond;10 Hearts;King Spade;Nothing in hand
3 Clubs;2 Spade;10 Clubs;4 Hearts;Jack Clubs;Nothing in hand
8 Diamond;8 Hearts;5 Spade;3 Diamond;Aces Diamond;One pair
7 Diamond;5 Spade;Jack Hearts;4 Diamond;5 Diamond;One pair
4 Spade;4 Hearts;7 Hearts;8 Clubs;5 Hearts;One pair
10 Spade;10 Diamond;King Spade;6 Spade;6 Hearts;Two pairs
9 Clubs;Jack Diamond;8 Diamond;4 Hearts;King Diamond;Nothing in hand
7 Clubs;Queen Spade;3 Diamond;8 Hearts;7 Hearts;One pair
5 Hearts;Aces Hearts;3 Diamond;Queen Spade;Jack Diamond;Nothing in hand
4 Hearts;6 Hearts;King Clubs;King Spade;3 Clubs;One pair
3 Clubs;King Spade;4 Spade;7 Diamond;2 Hearts;Nothing in hand
7 Spade;10 Clubs;10 Hearts;2 Hearts;5 Clubs;One pair
9 Spade;4 Spade;10 Hearts;7 Diamond;7 Spade;One pair
3 Diamond;8 Diamond;8 Clubs;Aces Hearts;Jack Hearts;One pair
7 Clubs;Jack Clubs;5 Diamond;Queen Diamond;3 Hearts;Nothing in hand
Aces Hearts;8 Clubs;4 Spade;10 Diamond;5 Clubs;Nothing in hand
Queen Spade;2 Clubs;5 Hearts;10 Diamond;10 Hearts;One pair
2 Clubs;8 Clubs;7 Clubs;3 Hearts;6 Clubs;Nothing in hand
4 Spade;8 Hearts;Queen Hearts;9 Hearts;10 Clubs;Nothing in hand
3 Spade;6 Hearts;Queen Spade;6 Diamond;5 Clubs;One pair
Aces Diamond;9 Diamond;King Clubs;5 Hearts;7 Diamond;Nothing in hand
6 Spade;4 Clubs;King Hearts;6 Clubs;5 Clubs;One pair
3 Clubs;10 Clubs;8 Spade;7 Hearts;10 Diamond;One pair
10 Diamond;9 Spade;Aces Hearts;Jack Spade;8 Spade;Nothing in hand
6 Clubs;3 Diamond;7 Diamond;4 Spade;2 Spade;Nothing in hand
Aces Spade;7 Spade;Queen Hearts;8 Clubs;5 Hearts;Nothing in hand
5 Clubs;Jack Hearts;10 Diamond;Aces Hearts;Aces Diamond;One pair
Aces Clubs;Jack Clubs;10 Diamond;9 Spade;2 Diamond;Nothing in hand
Jack Diamond;7 Spade;Queen Spade;5 Spade;7 Hearts;One pair
Aces Diamond;6 Clubs;King Clubs;Jack Clubs;Queen Clubs;Nothing in hand
Aces Hearts;3 Spade;2 Diamond;10 Clubs;9 Hearts;Nothing in hand
King Hearts;Aces Diamond;10 Spade;6 Spade;Queen Hearts;Nothing in hand
10 Spade;Aces Diamond;9 Diamond;9 Spade;5 Diamond;One pair
King Spade;Aces Hearts;Queen Spade;7 Hearts;7 Spade;One pair
5 Diamond;8 Hearts;Jack Clubs;6 Clubs;3 Spade;Nothing in hand
10 Diamond;3 Spade;Aces Spade;7 Clubs;10 Clubs;One pair
Jack Clubs;King Spade;8 Spade;Aces Spade;Queen Clubs;Nothing in hand
5 Spade;2 Hearts;4 Diamond;8 Clubs;9 Diamond;Nothing in hand
Queen Hearts;3 Diamond;2 Spade;4 Spade;8 Spade;Nothing in hand
6 Clubs;10 Spade;Queen Spade;5 Diamond;Jack Hearts;Nothing in hand
Aces Diamond;Jack Spade;Jack Clubs;King Hearts;2 Spade;One pair
4 Spade;7 Spade;4 Clubs;6 Spade;8 Spade;One pair
3 Hearts;3 Clubs;4 Clubs;Aces Diamond;King Clubs;One pair
3 Diamond;Aces Hearts;3 Clubs;King Spade;8 Clubs;One pair
7 Clubs;3 Hearts;4 Clubs;Aces Clubs;Jack Diamond;Nothing in hand
2 Clubs;3 Spade;8 Diamond;7 Clubs;King Spade;Nothing in hand
5 Clubs;5 Spade;Aces Spade;8 Clubs;King Hearts;One pair
9 Clubs;King Diamond;10 Clubs;2 Spade;7 Hearts;Nothing in hand
Queen Spade;9 Spade;Aces Clubs;2 Clubs;Jack Hearts;Nothing in hand
10 Hearts;9 Diamond;10 Diamond;8 Hearts;King Clubs;One pair
2 Clubs;4 Clubs;5 Hearts;10 Clubs;3 Diamond;Nothing in hand
3 Hearts;10 Clubs;8 Clubs;4 Clubs;King Clubs;Nothing in hand
Queen Diamond;2 Spade;Jack Clubs;8 Diamond;Aces Spade;Nothing in hand
6 Hearts;Aces Spade;8 Hearts;9 Diamond;5 Hearts;Nothing in hand
Aces Spade;9 Spade;9 Diamond;King Diamond;8 Spade;One pair
10 Clubs;Jack Hearts;Queen Diamond;5 Clubs;6 Diamond;Nothing in hand
10 Diamond;Queen Hearts;7 Hearts;King Diamond;Queen Spade;One pair
10 Diamond;7 Spade;2 Clubs;Queen Diamond;2 Spade;One pair
7 Spade;9 Clubs;5 Hearts;9 Diamond;6 Diamond;One pair
4 Spade;2 Spade;5 Spade;Aces Clubs;4 Clubs;One pair
Aces Diamond;3 Spade;Queen Clubs;King Diamond;8 Diamond;Nothing in hand
Queen Hearts;8 Spade;2 Spade;Aces Hearts;8 Diamond;One pair
Queen Spade;5 Clubs;10 Diamond;King Spade;8 Clubs;Nothing in hand
Aces Hearts;King Hearts;Jack Clubs;King Diamond;4 Clubs;One pair
2 Clubs;King Hearts;6 Spade;7 Spade;Jack Spade;Nothing in hand
8 Diamond;3 Hearts;10 Clubs;Queen Diamond;Aces Spade;Nothing in hand
2 Diamond;Jack Diamond;Queen Hearts;King Hearts;9 Diamond;Nothing in hand
King Diamond;2 Hearts;2 Diamond;9 Hearts;Jack Diamond;One pair
Queen Hearts;10 Spade;4 Hearts;3 Hearts;6 Hearts;Nothing in hand
Jack Spade;6 Spade;8 Clubs;7 Clubs;Queen Spade;Nothing in hand
6 Diamond;Jack Spade;2 Diamond;10 Diamond;Jack Hearts;One pair
8 Hearts;9 Spade;10 Spade;King Clubs;Aces Diamond;Nothing in hand
8 Clubs;Jack Spade;Queen Spade;3 Diamond;Jack Clubs;One pair
King Diamond;3 Hearts;7 Spade;8 Hearts;8 Clubs;One pair
Jack Hearts;Aces Hearts;10 Diamond;9 Clubs;6 Diamond;Nothing in hand
King Spade;Jack Spade;6 Spade;9 Clubs;4 Diamond;Nothing in hand
Jack Hearts;8 Hearts;3 Diamond;7 Spade;Queen Hearts;Nothing in hand
7 Hearts;Aces Diamond;5 Hearts;Aces Hearts;3 Spade;One pair
Queen Diamond;7 Spade;4 Clubs;2 Hearts;10 Spade;Nothing in hand
10 Clubs;4 Hearts;2 Clubs;Jack Spade;Aces Hearts;Nothing in hand
4 Hearts;Queen Hearts;2 Hearts;9 Clubs;Queen Spade;One pair
10 Clubs;9 Diamond;Queen Diamond;2 Spade;Jack Hearts;Nothing in hand
Jack Clubs;Aces Hearts;Aces Spade;3 Hearts;5 Diamond;One pair
7 Diamond;3 Clubs;8 Clubs;10 Diamond;2 Clubs;Nothing in hand
Aces Diamond;10 Diamond;4 Hearts;10 Spade;3 Spade;One pair
King Diamond;4 Spade;9 Spade;3 Spade;3 Diamond;One pair
Jack Diamond;10 Spade;Queen Diamond;3 Hearts;10 Hearts;One pair
2 Hearts;Queen Clubs;6 Diamond;5 Spade;4 Clubs;Nothing in hand
2 Clubs;4 Diamond;9 Clubs;Aces Spade;6 Spade;Nothing in hand
7 Spade;3 Spade;King Diamond;5 Hearts;5 Clubs;One pair
9 Spade;8 Clubs;8 Spade;3 Spade;7 Spade;One pair
6 Clubs;Queen Clubs;2 Hearts;8 Hearts;7 Spade;Nothing in hand
8 Diamond;King Hearts;7 Hearts;7 Clubs;King Diamond;Two pairs
9 Diamond;King Hearts;8 Clubs;9 Clubs;6 Hearts;One pair
Jack Hearts;10 Hearts;10 Clubs;King Diamond;King Hearts;Two pairs
Jack Hearts;10 Hearts;3 Diamond;6 Clubs;4 Diamond;Nothing in hand
9 Diamond;Aces Diamond;10 Hearts;5 Clubs;4 Diamond;Nothing in hand
Queen Clubs;Aces Diamond;Aces Spade;Jack Hearts;Jack Clubs;Two pairs
2 Clubs;8 Hearts;6 Spade;10 Spade;8 Diamond;One pair
7 Clubs;7 Diamond;9 Clubs;3 Clubs;10 Clubs;One pair
Queen Hearts;4 Clubs;9 Spade;6 Diamond;Aces Diamond;Nothing in hand
7 Diamond;7 Spade;4 Diamond;6 Diamond;3 Hearts;One pair
6 Clubs;9 Spade;7 Clubs;8 Hearts;8 Diamond;One pair
Queen Clubs;3 Hearts;3 Diamond;7 Clubs;10 Diamond;One pair
Jack Hearts;6 Spade;3 Spade;Queen Clubs;Jack Clubs;One pair
8 Diamond;6 Diamond;Jack Spade;5 Diamond;4 Spade;Nothing in hand
4 Diamond;Jack Spade;9 Hearts;Aces Spade;8 Diamond;Nothing in hand
5 Spade;4 Hearts;2 Clubs;10 Clubs;6 Hearts;Nothing in hand
3 Clubs;5 Diamond;Queen Spade;2 Hearts;4 Clubs;Nothing in hand
6 Diamond;King Spade;9 Diamond;King Hearts;10 Hearts;One pair
Jack Spade;6 Diamond;7 Clubs;2 Diamond;Jack Diamond;One pair
Aces Hearts;5 Spade;10 Diamond;4 Hearts;6 Hearts;Nothing in hand
10 Diamond;8 Hearts;6 Hearts;Aces Clubs;2 Spade;Nothing in hand
6 Hearts;4 Hearts;Aces Hearts;Jack Clubs;King Spade;Nothing in hand
9 Spade;4 Spade;King Hearts;3 Hearts;2 Diamond;Nothing in hand
Aces Diamond;9 Spade;8 Spade;6 Spade;Aces Hearts;One pair
6 Clubs;9 Hearts;8 Diamond;Aces Clubs;Jack Clubs;Nothing in hand
7 Diamond;4 Hearts;2 Spade;2 Diamond;Queen Spade;One pair
7 Spade;King Spade;10 Diamond;9 Hearts;10 Hearts;One pair
9 Clubs;2 Spade;Jack Hearts;Queen Spade;Jack Diamond;One pair
3 Spade;4 Diamond;8 Spade;4 Clubs;Queen Diamond;One pair
8 Spade;6 Hearts;6 Spade;7 Spade;King Diamond;One pair
Aces Hearts;Queen Hearts;3 Clubs;6 Clubs;Aces Diamond;One pair
Queen Spade;Jack Clubs;3 Spade;Aces Diamond;King Diamond;Nothing in hand
10 Clubs;5 Hearts;7 Diamond;9 Clubs;9 Hearts;One pair
9 Clubs;King Spade;3 Hearts;6 Spade;5 Diamond;Nothing in hand
5 Hearts;3 Clubs;Queen Clubs;5 Diamond;King Spade;One pair
9 Clubs;Queen Hearts;Aces Clubs;4 Hearts;Aces Diamond;One pair
8 Hearts;8 Spade;7 Hearts;Queen Hearts;4 Spade;One pair
5 Clubs;2 Diamond;7 Spade;9 Hearts;Queen Clubs;Nothing in hand
8 Hearts;2 Spade;3 Spade;2 Clubs;7 Spade;One pair
3 Hearts;King Spade;4 Diamond;5 Clubs;5 Hearts;One pair
4 Clubs;3 Spade;Queen Diamond;10 Hearts;10 Diamond;One pair
4 Clubs;8 Spade;Queen Clubs;4 Hearts;2 Diamond;One pair
King Diamond;2 Spade;King Clubs;6 Clubs;2 Diamond;Two pairs
10 Clubs;3 Clubs;6 Clubs;Aces Clubs;King Spade;Nothing in hand
10 Diamond;7 Diamond;8 Hearts;5 Diamond;Jack Spade;Nothing in hand
8 Clubs;5 Diamond;6 Clubs;2 Clubs;7 Clubs;Nothing in hand
Queen Clubs;7 Clubs;4 Spade;King Diamond;Jack Diamond;Nothing in hand
9 Hearts;8 Clubs;3 Hearts;King Diamond;Queen Hearts;Nothing in hand
6 Clubs;7 Hearts;9 Clubs;10 Spade;Jack Clubs;Nothing in hand
7 Spade;4 Hearts;Queen Hearts;King Hearts;4 Clubs;One pair
10 Clubs;9 Spade;4 Spade;King Clubs;9 Diamond;One pair
10 Spade;Aces Clubs;2 Hearts;Queen Clubs;4 Clubs;Nothing in hand
2 Hearts;10 Spade;Aces Clubs;2 Spade;5 Clubs;One pair
8 Spade;Jack Clubs;5 Spade;5 Clubs;2 Clubs;One pair
King Hearts;Queen Diamond;Queen Spade;9 Hearts;Queen Clubs;Three of a kind
6 Hearts;5 Clubs;8 Diamond;King Spade;2 Clubs;Nothing in hand
2 Diamond;Jack Diamond;Aces Hearts;7 Clubs;2 Clubs;One pair
7 Spade;Aces Hearts;6 Spade;10 Diamond;8 Clubs;Nothing in hand
7 Diamond;2 Clubs;8 Clubs;King Hearts;Aces Hearts;Nothing in hand
7 Clubs;King Spade;2 Clubs;Queen Diamond;5 Clubs;Nothing in hand
4 Diamond;King Hearts;8 Diamond;5 Diamond;3 Hearts;Nothing in hand
Queen Spade;4 Clubs;6 Clubs;Queen Hearts;9 Hearts;One pair
Aces Clubs;King Hearts;7 Hearts;King Diamond;Jack Diamond;One pair
10 Hearts;10 Spade;2 Clubs;6 Spade;4 Clubs;One pair
Queen Clubs;4 Spade;Jack Hearts;King Clubs;6 Clubs;Nothing in hand
Jack Hearts;9 Diamond;3 Spade;6 Clubs;Aces Clubs;Nothing in hand
5 Hearts;7 Hearts;7 Clubs;King Hearts;Jack Diamond;One pair
10 Diamond;2 Hearts;Queen Clubs;6 Clubs;5 Diamond;Nothing in hand
2 Diamond;4 Hearts;Queen Diamond;10 Hearts;8 Diamond;Nothing in hand
3 Spade;King Hearts;4 Hearts;King Spade;8 Clubs;One pair
Aces Hearts;King Hearts;Aces Clubs;6 Spade;10 Clubs;One pair
6 Hearts;King Hearts;Jack Diamond;6 Diamond;2 Hearts;One pair
8 Diamond;Queen Hearts;9 Spade;2 Hearts;5 Spade;Nothing in hand
Jack Hearts;King Hearts;9 Clubs;7 Hearts;King Diamond;One pair
6 Hearts;2 Clubs;9 Clubs;7 Hearts;5 Spade;Nothing in hand
Aces Hearts;10 Clubs;6 Clubs;3 Spade;4 Diamond;Nothing in hand
7 Clubs;Queen Clubs;3 Spade;5 Clubs;6 Spade;Nothing in hand
6 Hearts;Aces Diamond;Jack Hearts;2 Hearts;5 Clubs;Nothing in hand
3 Clubs;Queen Spade;Queen Clubs;King Hearts;10 Diamond;One pair
10 Clubs;4 Spade;5 Spade;3 Hearts;King Clubs;Nothing in hand
7 Spade;3 Hearts;Aces Hearts;7 Hearts;3 Spade;Two pairs
Queen Diamond;2 Diamond;5 Hearts;Aces Spade;8 Hearts;Nothing in hand
8 Hearts;Queen Hearts;10 Spade;2 Hearts;7 Diamond;Nothing in hand
Queen Clubs;Jack Spade;Jack Clubs;9 Hearts;Jack Diamond;Three of a kind
4 Hearts;6 Spade;King Hearts;10 Clubs;7 Hearts;Nothing in hand
7 Hearts;King Spade;Queen Spade;Aces Hearts;9 Spade;Nothing in hand
3 Hearts;5 Diamond;Aces Hearts;4 Spade;8 Diamond;Nothing in hand
Aces Clubs;5 Spade;Queen Clubs;6 Spade;9 Diamond;Nothing in hand
5 Hearts;9 Clubs;3 Diamond;7 Clubs;8 Diamond;Nothing in hand
9 Diamond;Queen Hearts;7 Diamond;Queen Clubs;9 Spade;Two pairs
2 Clubs;4 Diamond;Aces Hearts;10 Diamond;8 Clubs;Nothing in hand
7 Diamond;Queen Diamond;Queen Hearts;3 Clubs;4 Clubs;One pair
3 Spade;7 Clubs;7 Hearts;King Hearts;7 Diamond;Three of a kind
3 Hearts;King Spade;5 Spade;10 Diamond;7 Diamond;Nothing in hand
4 Clubs;9 Clubs;7 Hearts;9 Hearts;5 Clubs;One pair
9 Clubs;7 Clubs;9 Hearts;7 Diamond;5 Clubs;Two pairs
4 Hearts;7 Hearts;7 Diamond;3 Hearts;King Hearts;One pair
